,Artist,Lyrics
10,Bob Marley,"No sun will shine in my day today; (no sun will shine)
The high yellow moon won't come out to play:
(that high yellow moon won't come out to play)
I said (darkness) darkness has covered my light,

(And the stage) and the stage my day into night, yeah.
Where is the love to be found? (oo-ooh-ooh)
Won't someone tell me?
'Cause my (sweet life) life must be somewhere to be found -

(Must be somewhere for me)
Instead of concrete jungle (la la-la!),
Where the living is harder (la-la!).

Concrete jungle (la la-la!):
Man you got to do your (la la-la!) best. wo-ooh, yeah.
No chains around my feet,
But I'm not free, oh-ooh!

I know I am bound here in captivity;
G'yeah, now - (never, never) I've never known happiness;
(Never, never) I've never known what sweet caress is -
Still, I'll be always laughing like a clown;

Won't someone help me? 'cause I (sweet life) -
I've got to pick myself from off the ground
(must be somewhere for me), he-yeah! -
In this a concrete jungle (la la-la!):
I said, what do you cry for me (la-la!) now, o-oh!
Concrete jungle (la la-la!), ah, won't you let me be (la la-la!), now.
Hey! oh, now!

I said that life (sweet life) - it must be somewhere to be found
(must be somewhere for me)
Oh, instead: concrete jungle (la-la!) - collusion (la-la!) -
Confusion (confusion). eh!

Concrete jungle (la-la!): baby, you've got it in.
Concrete jungle (la la-la!), now. eh!
Concrete jungle (la la-la!).

What do you stand(?) for me (la-la!), now?"
11,Bob Marley,"They just keep holdin' me
Won't let go
Holdin' me
Won't let go

I need a hammer, a hammer, a hammer, a hammer
To hammer them down
I need a rammer, a rammer, a rammer, a rammer
To ram them down

They just keep teasin' me
And, you know, they play like they don't know
Provokin' me
But this is all I know

I need a rammer, a rammer, a rammer, a rammer
To ram them down
I need a hammer, a hammer, a hammer, a hammer
To hammer them down

Wee, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh, ooh

Oh, I need a rammer, a rammer, a rammer, a rammer
To rama thema down
Oh, I need a hammer, a hammer, a hammer, a hammer
To hammer them down

Said, I need a rammer, a rammer, a rammer, a rammer
To rama them down
I need a hammer, a hammer, a hammer, a hammer
To hammer them down

Holdin' me 
Won't let go 
Holdin' me 
Won't let go

I need a rammer, a rammer, a rammer, a rammer
To rama them down
I need a hammer, a hammer, a hammer, a hammer
To hammer them down (I need a rammer)
 
I need a hammer, a hammer, a hammer, a hammer
To hammer them down
I need a rammer, a rammer, a rammer, a rammer
To ram them down

I need a hammer, a hammer, a hammer, a hammer
To hammer them down
I need a rammer, a rammer, a rammer, a rammer
To ram them down"
12,Bob Marley,"My cup is running over
I don't know what to do
My cup is running over
I don't know what to do
No I don't know (No I don't know)
No I don't know
(No I don't know)

Yes I've got to cry, cry, cry
People let me cry, cry, cry
Said I fell a little bit better (Cry, cry, cry)
If only I got to cry, cry, cry

Now that I, lost you
I've lost the best friend
That I ever knew
Now that I, realize

It makes me (Makes me)
It makes me (Makes me)
So mad, tell you, my cup, running over
I don't know what to do
My cup is running over
I don't know what to do
No I don't know (No I don't know)
No I don't know

(No I don't know)
Yes I've got to cry, cry, cry
People let me (cry, cry, cry)
(Cry, cry, cry)
(Cry, cry, cry)

Now that I, lost you
I've lost the best friend that I ever knew
Now that I, realize
It makes me (makes me) it makes me (makes me)
So mad, tell you my cup, cup, is running over baby
And I don't know what to, don't know what to do yeah
Tell you my cup, running over
And I don't know, don't know, don't know what to do

Eh
No I don't know (No I don't know)
No I don't know
(No I don't know)
Yes I've got to cry, cry, cry
People let me (Cry, cry, cry)
I'll feel a little bit better (Cry, cry, cry)
But I got (feel like crying) (Cry, cry, cry)
Ooh yeah (feel like crying) (Cry, cry, cry)
Ooh yeah (feel like crying) cry, cry, cry
(Feel like crying)
Cry, cry"
13,Bob Marley,"One, two, three

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love

From the very first time I blessed my eyes on you, girl
My heart says follow through
But I know, now, that I'm way down on your line
But the waiting feel is fine
So don't treat me like a puppet on a string
'Cause I know how to do my thing
Don't talk to me as if you think I'm dumb
I wanna know when you're gonna come, see

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
'Cause if summer is here
I'm still waiting there
Winter is here
And I'm still waiting there

Like I said
It's been three years since I'm knocking on your door
And I still can knock some more
Ooh girl, ooh girl, is it feasible?
I wanna know now, 'for I to knock some more
Ya see, in life I know there's lots of grief
But your love is my relief
Tears in my eyes burn, tears in my eyes burn
While I'm waiting, while I'm waiting for my turn
See

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love

I don't wanna wait in vain for your love, oh
I don't wanna, I don't wanna, I don't wanna, I don't wanna
I don't wanna wait in vain
No, I don't wanna, I don't wanna, I don't wanna, I don't wanna
I don't wanna wait in vain
No, I don't wanna (I don't wanna, I don't wanna, I don't wanna
I don't wanna, I don't wanna wait in vain)
No I, no I I don't wanna, I don't wanna, I don't wanna
I don't wanna, I don't wanna wait in vain
It's your love that I'm waiting on (I don't wanna)
It's me love that you're running from. (I don't wanna wait in vain)
It's your love that I'm waiting on (I don't wanna)
It's me love that you're running from. (I don't wanna wait in vain)"
14,Bob Marley,"Baby baby we've got a date
Oh, baby, baby don't you
Be late! Oh, baby!

I'll meet you at your house at
A quarter to eight
Oh, darlin', baby, baby, just you
Have some faith!
I promise you we're gonna
Rock it
Baby, rock it baby, tonight,
Rock it baby, rock it baby,
Tonight,
Gonna rock it baby, rock it baby, tonight,
Baby
Rock it baby, rock it baby, tonight!

Oh, we walk
Through the pale moonlight,
With our love that is
Right
Oh, my, my, my yeah!
Oh, so happy we will
Be
Sharing the love that is free!

Got to get
Together, babe, tonight,
Say we got to get together baby,
Tonight,
Say we got to get together baby, tonight,
Got
To get together, babe, tonight!

Baby, we've got a
Date, don't you remember?
Baby, baby, don't you be
Late! Please don't forget

I'll meet you at
Your house at a quarter to eight
Oh, baby!
Baby, baby,
Just you have some faith! Wo, now!
Say we gonna
Rock it
Baby, rock it baby, tonight,
Say we rock it baby, rock it
Baby, tonight,
We gonna rock it baby, rock it baby,
Tonight
Say we got to get together babe,
Tonight!

Say we got to get together, babe,
Tonight
We gonna rock it baby, rock it baby,
Tonight,
Say we rock it baby, rock it baby, tonight,
Say
We got to get together babe, tonight!

Say we got to get
Together, babe, tonight
Say we got to get together babe,
Tonight, Are you sure...?
Say we got to get together, babe,
Tonight!

Rock it baby, rock it baby, tonight,
Rock
It baby, rock it baby, tonight,
Gonna rock it baby, rock it
Baby, tonight
Rock it baby, rock it baby, tonight,
Got
To get together, babe, tonight,
Got to get together, babe,
Tonight,
Say we got to get together, babe, tonight,
Got
To get together babe, tonight!"
15,Bob Marley,"Lord, I've got to keep on moving
Lord, I've got to get on down
Lord, I've got to keep on moving
Where I can't be found
Lord, they're coming after me

I've been accused for the killin'
Lord knows I didn't do
For hangin' me, they are willin', yeah, yeah
And that's why I've got to get on through
Lord, they're coming after me (a-one more time)

Lord, I've got to keep on moving
Lord, I've got to get on down
Lord, I've got to keep on moving
Where I can't be found
Lord, they're coming after me

(Now, listen) I've got two boys and a woman
They're just gonna suffer now
Lord, forgive me for not goin' back
But I'll be there anyhow
I'll be there anyhow (one more time)

(I say) Lord, I've got to keep on moving
Lord, I've got to get on down
Lord, I've got to keep on moving
Where I can't be found
Lord, they're coming after me

Now, maybe someday I'll find a piece of land
Somewhere not by near anyone
Then I'll send for my love, love, love, love, sweet woman
And my two grown-up son
My two grown up-son (yeah, yeah, yeah)

(I say now) Lord I've got to keep on moving"
16,Bob Marley,"Ooh!
Ooh!

Them crazy
Them crazy 
We gonna chase those crazy baldheads out of town
Chase those crazy baldheads out of our town

I and I build a cabin
I and I plant the corn
Didn't my people before me
Slave for this country?
Now you look me with that scorn
Then you eat up all my corn

We gonna chase those crazy 
Chase them crazy 
Chase those crazy baldheads out of town
 
Build your penitentiary
We build your schools
Brainwash education 
To make us the fools
Hate is your reward for our love
Telling us of your God above

We gonna chase those crazy 
Chase those crazy bunkheads 
Chase those crazy baldheads out of the town

Chase those crazy baldheads out of the town

We gonna chase those crazy 
Chase those crazy bunkheads 
Chase those crazy baldheads out of the town

Here comes the conman
Coming with his con plan
We won't take no bribe
We've got to stay alive

We gonna chase those crazy 
Chase those crazy baldheads 
Chase those crazy baldheads out of the town"
17,Bob Marley,"Thank you, Lord, for what you've done for me, yeah!
Thank you, Lord, for what you're doing now
Thank you, Lord, for ev'ry little thing, yeah, yeah!
Thank you, Lord, for you made me sing

Say I'm in no competition,
But I made my decision
You can keep your opinion
I'm just calling on the wiseman communion

Thank you, Lord, for what you've done for me, yeah, yeah, yeah!
Thank you, Lord, for what you're doing now
Thank you, Lord, for ev'ry little thing, yeah, yeah!
Thank you, Lord, for you made me sing
Sing along, sing along

I don't fear their aggression,
Just to prove my determination
I don't yield to temptation
I haven't learn't my lesson in Revelation

Thank you, Lord, for what you've done for me, yeah-eah-eah!
Thank you, Lord, for what you're doing now
Thank you, Lord, for ev'ry little thing, yeah, yeah!
Thank you, Lord, for you made me sing
Sing along, sing along
 ---
(Trumpet solo)
 ---
Said, I'm in no competition,
But I made my decision
Lord, in my simple way,
Comin', comin', comin', comin'
I love to pray

Thank you, Lord, for what you've done for me, yeah-eah-eah!
Thank you, Lord, for what you're doing now
Thank you, Lord, for ev'ry little thing, yeah, yeah!
Thank you, Lord, for you made me sing
Oh-oh-oh-oh!"
18,Bob Marley,"(We don't need) no, we don't need (no more trouble) no more trouble!
(We don't need no more trouble)

Wo! Oh-oh-oh!
(We don't need) we don't need no, no more trouble!
We don't need no trouble!

(We don't need no more trouble)
Make love and not war! 
'Cause we don't need no trouble
What we need is love (love)
To guide and protect us on (on)
If you hope good down from above (love)
Help the weak if you are strong now (strong)

We don't need no trouble
What we need is love, oh, no!
We don't need, we don't need, no more trouble!
Lord knows, we don't need no trouble!

(We don't need) we don't need trouble (no more trouble)
No more trouble, no more trouble!
Speak happiness! (Sad enough without your woes) 
Fortune, come on, you all and speak of love (sad enough without your woes) oh, yeah!

We don't need no trouble
What we need is love, now (what we need is love!)
(We don't need) oh, we don't need (no more trouble!)
We don't need, no, we don't need no trouble!
We don't (need), no, brothers and sisters (no more trouble!)

We don't need no trouble, we don't really need no trouble!
Oh! We don't need no trouble!
What we need is love!

We don't need, we don't need no more, we don't need
No more trouble, we don't need no more trouble!
Trouble we don't need, we don't need
(We don't need) Lord, knows
We don't need no more war (no more trouble)
No more trouble, we don't need no more, more trouble!"
19,Bob Marley,"Oh, please don't you rock my boat (don't rock my boat)
Cause I don't want my boat to be rockin' (don't rock my boat)
Oh, please don't you rock my boat (don't rock my boat)
Cause I don't want my boat to be rockin' (don't rock my boat)

I'm telling you that, oh, oh-oh,
I like it, like it this (I like it like this, I like it like this)
So keep it steady, like this (I like it like this)
And you should know, you should know by now
I like it (I like it like this) I like it like this (I like it like this, I like it like this)
I like it like this, ooh yeah! (I like it like this)

(Satisfy my soul) You satisfy my soul (satisfy my soul)
You satisfy my soul (satisfy my soul)
Every little action (satisfy my soul)
There's a reaction (satisfy my soul)
Oh, can't you see what you've done for me, oh, yeah
I am happy inside all, all of the time

When we (bend) bend a new corner
I feel like a (sweep) sweepstake winner
When I meet you around the corner (round the corner)
You make me feel like a sweepstake winner (a sweep, a sweepstake winner)
Whoa, child, can't you see, you must believe me
Oh darling, darling, I'm calling, calling
Can't you see, why won't you believe me?
Oh, darling, darling, I'm calling, calling (calling, calling, calling, calling)

When I meet you around the corner,
Oh, I said, baby, never let me be a loner
And then you hold me tight, you make me feel all right
Yes, when you hold me tight, you made me feel all right

Whoa, honey, can't you see, don't you believe me?
Oh, darling, darling, I'm callin', callin'
Can't you see, why won't you believe me
Oh, darling, darling, I'm callin', callin' (calling, calling, calling, calling)

Satisfy my soul, satisfy my soul, satisfy my soul, satisfy my soul
That's all I want you to do, that's all I'll take from you
Satisfy my soul, satisfy my soul"
20,Bob Marley,"One love, one heart
Let's get together and feel all right
Hear the children cryin' (one love)
Hear the children cryin' (one heart)
Sayin' give thanks and praise to the Lord and I will feel all right
Sayin' let's get together and feel all right

Let them all pass all their dirty remarks (one love)
There is one question I'd really love to ask (one heart)
Is there a place for the hopeless sinners
Who has hurt all mankind just to save his own beliefs?

One love, what about the one heart, one heart
What about, people, let's get together and feel all right
As it was in the beginning (one love)
So shall it be in the end (one heart)
All right! Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right, one more thing

Let's get together to fight this Holy Armagiddyon (one love)
So when the Man comes there will be no, no doom (one song)
Have pity on those whose chances grows t'inner
There ain't no hiding place from the Father of Creation

Sayin', one love, what about the one heart? (one heart)
What about the, let's get together and feel all right
I'm pleadin' to mankind (one love)
Oh, Lord (one heart) whoa

Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right
Give thanks and praise to the Lord and I will feel all right
Let's get together and feel all right"
21,Bob Marley,"We gonna have a soul shakedown party tonight!
We gonna have a soul shakedown party tonight!
The way you love-a me, huh! It's all right!
When you put your loving arms around me, 
And you hold me tight, holding me tight

This is my invitation
I got the special vacation
I need your concentration
Just to feel your vibration
At that soul shakedown party tonight
We gonna have a soul shakedown party tonight!

Jane is in the back yard
Doing the outside dance
I'm telling you the other day,
She didn't even get a chance!

But this is my invitation
A just-a special vacation
I need your concentration
Just to, just to, just to (vibration) just to
(Soul shakedown party tonight) Baby, I need you tonight!
We gonna have a soul shakedown party tonight!

Hit it, brother, y'all!

The way you love-a me, it's all right! (It's all right)
When you put your loving arms around me (arms around me),
And you hold me tight (holding me tight)

This is my invitation
I got the special vacation
I need your concentration
Just to feel your vibration

At that soul shakedown party tonight!
We gonna have a soul shakedown party tonight!
Swing with me, baby!
(Soul shakedown party tonight)

It will be for two"
22,Bob Marley,"Sun is shining, the weather is sweet
Make you wanna move your dancing feet now
To the rescue, here I am
Want you to know ya, can you understand

When the morning gather the rainbow, yeah, yeah
Want you to know I'm a rainbow too
To the rescue, here I am
Want you to know ya
Can you, can you, can you understand

The sun is shining, the weather is sweet now
Make you wanna move your dancing feet, yeah
Oh, to the rescue, here I am
Want you to know just if you can
Here I stand, no, no, no, no, no, no, no, no
Can you understand me now, baby

Do you believe me?"
23,Bob Marley,"Until the philosophy 
Which hold one race superior and another
Inferior
Is finally
And permanently
Discredited
And abandoned
Everywhere is war
Me say war

That until there no longer
First class and second class citizens of any nation
Until the color of a man's skin
Is of no more significance than the color of his eyes
Me say war

That until the basic human rights
Are equally guaranteed to all
Without regard to race
Dis a war

That until that day
The dream of lasting peace,
World citizenship
Rule of international morality
Will remain in but a fleeting illusion to be pursued,
But never attained
Now everywhere is war
War

And until the ignoble and unhappy regimes
That hold our brothers in Angola
In Mozambique
South Africa
Sub-human bondage
Have been toppled
Utterly destroyed
Well, everywhere is war
Me say war

War in the east
War in the west
War up north
War down south
War war
Rumors of war
And until that day,
The African continent
Will not know peace,
We Africans will fight we find it necessary
And we know we shall win
As we are confident
In the victory

Of good over evil
Good over evil, yeah
Good over evil
Good over evil, yeah
Good over evil"
24,Bob Marley,"I wanna love you, and treat you right
I wanna love you, every day and every night
We'll be together, with a roof right over our heads
We'll share the shelter, of my single bed
We'll share the same room, yeah
For Jah provide the bread

Is this love, is this love, is this love
Is this love that I'm feelin'?
Is this love, is this love, is this love
Is this love that I'm feelin'?
I wanna know, wanna know, wanna know now
I got to know, got to know, got to know now
I, I'm willing and able
So I throw my cards on your table

I wanna love you, I wanna 
Love and treat, love and treat you right
I wanna love you every day and every night
We'll be together, yeah, with a roof right over our heads
We'll share the shelter, yeah, oh yeah, of my single bed
We'll share the same room, yeah
For Jah provides the bread

Is this love, is this love, is this love
Is this love that I'm feelin'?
Is this love, is this love, is this love
Is this love that I'm feelin'?
Whoa, oh yes I know, yes I know, yes I know now
Oh yes I know, yes I know, yes I know now

I, I'm willing and able
So I throw my cards on your table
See, I wanna love ya, I wanna love and treat ya
Love and treat ya right

I wanna love you every day and every night
We'll be together, with a roof right over our heads
We'll share the shelter, of my single bed
We'll share the same room, yeah
Jah provides the bread
We'll share the shelter"
